PUBMEDID	LINK	STUDY	DISEASE.TRAIT	INITIAL.SAMPLE.DESCRIPTION	REPLICATION.SAMPLE.DESCRIPTION	STRONGEST.SNP_RISK.ALLELE	SNPS	RISK.ALLELE.FREQUENCY	P.VALUE	ORorBETA	CASES	CONTROLS	STAGE	CLINICAL.VARIABLES	NOTES	Sensitivity	Specificity	A	B	C	D
19136949	http://europepmc.org/abstract/MED/19136949	Genetic variation in PCDH11X is associated with susceptibility to late-onset Alzheimer's disease.	Alzheimer's disease	844 European ancestry cases, 1,255 European ancestry controls	1,547 European ancestry cases, 1,209 European ancestry controls	rs2573905-?	rs2573905	0.46	2e-07	1.29	2449	2561	1+2 | combined	NA	NA	0.523557437797777	0.54	1282	1178	1167	1383
19734902	http://europepmc.org/abstract/MED/19734902	Genome-wide association study identifies variants at CLU and PICALM associated with Alzheimer's disease.	Alzheimer's disease	3,941 European ancestry cases, 7,848 European ancestry controls	2,023 European ancestry cases, 2,340 European ancestry controls	rs11136000-?	rs11136000	0.6	1e-09	1.19	3941	7848	1	NA	Heritability of up to 76% for Alzheimer's disease | Flipped odd ratio | Population attributable risk reported	0.640933572710952	0.4	2526	4709	1415	3139
19734902	http://europepmc.org/abstract/MED/19734902	Genome-wide association study identifies variants at CLU and PICALM associated with Alzheimer's disease.	Alzheimer's disease	3,941 European ancestry cases, 7,848 European ancestry controls	2,023 European ancestry cases, 2,340 European ancestry controls	rs2075650-?	rs2075650	0.15	2e-157	2.53	3941	7848	1	NA	Heritability of up to 76% for Alzheimer's disease | Population attributable risk reported	0.308662057747052	0.85	1216	1177	2725	6671
19734902	http://europepmc.org/abstract/MED/19734902	Genome-wide association study identifies variants at CLU and PICALM associated with Alzheimer's disease.	Alzheimer's disease	3,941 European ancestry cases, 7,848 European ancestry controls	2,023 European ancestry cases, 2,340 European ancestry controls	rs3851179-?	rs3851179	0.63	2e-08	1.18	3941	7848	1	NA	Heritability of up to 76% for Alzheimer's disease | Flipped odd-ratio | Population attributable risk reported	0.66768456978624	0.37	2631	4944	1310	2904
19734903	http://europepmc.org/abstract/MED/19734903	Genome-wide association study identifies variants at CLU and CR1 associated with Alzheimer's disease.	Alzheimer's disease	2,032 European ancestry cases, 5,328 European ancestry controls	3,978 European ancestry cases, 3,297 European ancestry controls	rs11136000-?	rs11136000	0.62	8e-09	1.16	5791	8420	1+2 | combined	NA	Stratified analysis by populations: Belgium, Finland, Italy and Spain | flipped odd ratio	0.65429403202329	0.38	3789	5220	2002	3200
19734903	http://europepmc.org/abstract/MED/19734903	Genome-wide association study identifies variants at CLU and CR1 associated with Alzheimer's disease.	Alzheimer's disease	2,032 European ancestry cases, 5,328 European ancestry controls	3,978 European ancestry cases, 3,297 European ancestry controls	rs2279590-?	rs2279590	0.59	9e-09	1.16	5828	8425	1+2 | combined	NA	Stratified analysis by populations: Belgium, Finland, Italy and Spain | flipped odd ratio | haplotype analysis not considered for this SNP, just association analysis in CLU locus	0.625365497076023	0.41	3645	4971	2183	3454
19734903	http://europepmc.org/abstract/MED/19734903	Genome-wide association study identifies variants at CLU and CR1 associated with Alzheimer's disease.	Alzheimer's disease	2,032 European ancestry cases, 5,328 European ancestry controls	3,978 European ancestry cases, 3,297 European ancestry controls	rs3818361-?	rs3818361	0.19	9e-08	1.19	5735	8418	1+2 | combined	NA	Stratified analysis by populations: Belgium, Finland, Italy and Spain | haplotype analysis not considered for this SNP, just association analysis in CR1 locus	0.21822217932632	0.81	1252	1599	4483	6819
19734903	http://europepmc.org/abstract/MED/19734903	Genome-wide association study identifies variants at CLU and CR1 associated with Alzheimer's disease.	Alzheimer's disease	2,032 European ancestry cases, 5,328 European ancestry controls	3,978 European ancestry cases, 3,297 European ancestry controls	rs6656401-?	rs6656401	0.19	4e-09	1.21	5905	8526	1+2 | combined	NA	Stratified analysis by populations: Belgium, Finland, Italy and Spain | haplotype analysis not considered for this SNP, just association analysis in CR1 locus	0.221078949899029	0.81	1305	1620	4600	6906
19734903	http://europepmc.org/abstract/MED/19734903	Genome-wide association study identifies variants at CLU and CR1 associated with Alzheimer's disease.	Alzheimer's disease	2,032 European ancestry cases, 5,328 European ancestry controls	3,978 European ancestry cases, 3,297 European ancestry controls	rs9331888-?	rs9331888	0.28	9e-08	1.16	5887	8508	1+2 | combined	NA	Stratified analysis by populations: Belgium, Finland, Italy and Spain | haplotype analysis not considered for this SNP, just association analysis in CLU locus	0.310872894333844	0.72	1830	2382	4057	6126
17529974	http://europepmc.org/abstract/MED/17529974	Common variants on chromosomes 2q35 and 16q12 confer susceptibility to estrogen receptor-positive breast cancer.	Breast cancer	1,599 European ancestry cases, 11,546 European ancestry controls	2,954 European ancestry cases, 5,967 European ancestry controls, Up to 561 Japanese ancestry cases, Up to 565 Japanese ancestry control, Up to 422 African American cases, Up to 448 African American controls, Up to 418 Hispanic cases, Up to 422 Hispanic controls, Up to 148 cases, Up to 293 controls	rs13387042-A	rs13387042	0.5	1e-13	1.2	4533	17513	Combined	Pathological breast cancer subtypes: Estrogen receptor, progesterone receptor, histopathology(ductal, lobular, ductal vs. lobular), stage, grade	Stratified analysis from multiethnic cohort: European Americans, Latinas, Hawaiians, Japanese, African Americans | Allelic interaction analysis	0.545454545454545	0.5	2473	8756	2060	8756
