PUBMEDID	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE DESCRIPTION	REPLICATION SAMPLE DESCRIPTION	SNPS	RISK ALLELE FREQUENCY	P-VALUE	OR or BETA
23290196	http://europepmc.org/abstract/MED/23290196	A genome-wide association study of depressive symptoms.	Depression (quantitative trait)	up to 34,549 European ancestry individuals	up to 16,709 European ancestry individuals	rs8020095	0.17	3E-6	
23290196	http://europepmc.org/abstract/MED/23290196	A genome-wide association study of depressive symptoms.	Depression (quantitative trait)	up to 34,549 European ancestry individuals	up to 16,709 European ancestry individuals	rs161645	0.34	8E-8	
20800221	http://europepmc.org/abstract/MED/20800221	Genome-wide association scan of trait depression.	Depression (quantitative trait)	3,972 Sardinian individuals, 839 European ancestry individuals	NA	rs10514585	0.31	5E-6	.15
20800221	http://europepmc.org/abstract/MED/20800221	Genome-wide association scan of trait depression.	Depression (quantitative trait)	3,972 Sardinian individuals, 839 European ancestry individuals	NA	rs12420464	0.04	3E-6	.38
20800221	http://europepmc.org/abstract/MED/20800221	Genome-wide association scan of trait depression.	Depression (quantitative trait)	3,972 Sardinian individuals, 839 European ancestry individuals	NA	rs17864092	0.90	6E-6	.17
20800221	http://europepmc.org/abstract/MED/20800221	Genome-wide association scan of trait depression.	Depression (quantitative trait)	3,972 Sardinian individuals, 839 European ancestry individuals	NA	rs10744304	0.63	9E-6	.15
20800221	http://europepmc.org/abstract/MED/20800221	Genome-wide association scan of trait depression.	Depression (quantitative trait)	3,972 Sardinian individuals, 839 European ancestry individuals	NA	rs11009175	0.17	5E-6	.16
20800221	http://europepmc.org/abstract/MED/20800221	Genome-wide association scan of trait depression.	Depression (quantitative trait)	3,972 Sardinian individuals, 839 European ancestry individuals	NA	rs12912233	0.46	6E-7	.15
20800221	http://europepmc.org/abstract/MED/20800221	Genome-wide association scan of trait depression.	Depression (quantitative trait)	3,972 Sardinian individuals, 839 European ancestry individuals	NA	rs2017305	0.92	9E-6	.22
20800221	http://europepmc.org/abstract/MED/20800221	Genome-wide association scan of trait depression.	Depression (quantitative trait)	3,972 Sardinian individuals, 839 European ancestry individuals	NA	rs349475	0.29	2E-6	.18
20800221	http://europepmc.org/abstract/MED/20800221	Genome-wide association scan of trait depression.	Depression (quantitative trait)	3,972 Sardinian individuals, 839 European ancestry individuals	NA	rs1927745	0.24	5E-6	.16
20800221	http://europepmc.org/abstract/MED/20800221	Genome-wide association scan of trait depression.	Depression (quantitative trait)	3,972 Sardinian individuals, 839 European ancestry individuals	NA	rs1449984	0.72	7E-6	.15
20800221	http://europepmc.org/abstract/MED/20800221	Genome-wide association scan of trait depression.	Depression (quantitative trait)	3,972 Sardinian individuals, 839 European ancestry individuals	NA	rs8070473	0.32	2E-6	.16
24096698	http://europepmc.org/abstract/MED/24096698	Genome-wide association study of endometrial cancer in E2C2.	Endometrial cancer	up to 2,695 European ancestry cases, up to 2,777 European ancestry controls	up to 3,235 cases, up to 12,059 controls	rs12778749	NR	8E-6	
24096698	http://europepmc.org/abstract/MED/24096698	Genome-wide association study of endometrial cancer in E2C2.	Endometrial cancer	up to 2,695 European ancestry cases, up to 2,777 European ancestry controls	up to 3,235 cases, up to 12,059 controls	rs12778749	NR	9E-6	
24096698	http://europepmc.org/abstract/MED/24096698	Genome-wide association study of endometrial cancer in E2C2.	Endometrial cancer	up to 2,695 European ancestry cases, up to 2,777 European ancestry controls	up to 3,235 cases, up to 12,059 controls	rs3773582	NR	8E-6	
24096698	http://europepmc.org/abstract/MED/24096698	Genome-wide association study of endometrial cancer in E2C2.	Endometrial cancer	up to 2,695 European ancestry cases, up to 2,777 European ancestry controls	up to 3,235 cases, up to 12,059 controls	rs2891316	NR	9E-6	
24096698	http://europepmc.org/abstract/MED/24096698	Genome-wide association study of endometrial cancer in E2C2.	Endometrial cancer	up to 2,695 European ancestry cases, up to 2,777 European ancestry controls	up to 3,235 cases, up to 12,059 controls	rs11679180	NR	3E-6	
24096698	http://europepmc.org/abstract/MED/24096698	Genome-wide association study of endometrial cancer in E2C2.	Endometrial cancer	up to 2,695 European ancestry cases, up to 2,777 European ancestry controls	up to 3,235 cases, up to 12,059 controls	rs1777220	NR	2E-6	
24096698	http://europepmc.org/abstract/MED/24096698	Genome-wide association study of endometrial cancer in E2C2.	Endometrial cancer	up to 2,695 European ancestry cases, up to 2,777 European ancestry controls	up to 3,235 cases, up to 12,059 controls	rs4407	NR	2E-6	
24096698	http://europepmc.org/abstract/MED/24096698	Genome-wide association study of endometrial cancer in E2C2.	Endometrial cancer	up to 2,695 European ancestry cases, up to 2,777 European ancestry controls	up to 3,235 cases, up to 12,059 controls	rs4407	NR	3E-6	
24096698	http://europepmc.org/abstract/MED/24096698	Genome-wide association study of endometrial cancer in E2C2.	Endometrial cancer	up to 2,695 European ancestry cases, up to 2,777 European ancestry controls	up to 3,235 cases, up to 12,059 controls	rs9459805	NR	8E-6	
24096698	http://europepmc.org/abstract/MED/24096698	Genome-wide association study of endometrial cancer in E2C2.	Endometrial cancer	up to 2,695 European ancestry cases, up to 2,777 European ancestry controls	up to 3,235 cases, up to 12,059 controls	rs9459805	NR	8E-6	
24096698	http://europepmc.org/abstract/MED/24096698	Genome-wide association study of endometrial cancer in E2C2.	Endometrial cancer	2,695 European ancestry cases, 2,777 European ancestry controls	2,261 cases,  3,357 controls				
22426144	http://europepmc.org/abstract/MED/22426144	Genome-wide association study identifies a possible susceptibility locus for endometrial cancer.	Endometrial cancer	832 Chinese ancestry cases, 2,682 Chinese ancestry controls	6,864 European ancestry cases, 12,936 European ancestry controls, 796 Chinese ancestry cases, 978 Chinese ancestry controls				
21499250	http://europepmc.org/abstract/MED/21499250	Genome-wide association study identifies a common variant associated with risk of endometrial cancer.	Endometrial cancer	1,265 European ancestry cases, 5,190 European ancestry controls	3,957 European ancestry cases, 6,886 European ancestry controls	rs4430796	0.52	7E-10	1.19
21499250	http://europepmc.org/abstract/MED/21499250	Genome-wide association study identifies a common variant associated with risk of endometrial cancer.	Endometrial cancer	1,265 European ancestry cases, 5,190 European ancestry controls	3,957 European ancestry cases, 6,886 European ancestry controls	rs673604	NR	6E-6	1.21
23349640	http://europepmc.org/abstract/MED/23349640	Susceptibility loci associated with specific and shared subtypes of lymphoid malignancies.	Lymphoma	275 Follicular non-Hodgkin’s Lymphoma cases, 269 diffuse large B-cell non-Hodgkin’s Lymphoma cases, 198 other non-Hodgkin’s Lymphoma cases, 202 Hodgkin’s Lymphoma cases, 4,044 controls	202 European ancestry Follicular non-Hodgkin’s Lymphoma cases, 367 European ancestry diffuse large B-cell non-Hodgkin’s Lymphoma cases, 577 European ancestry other non-Hodgkin’s Lymphoma cases, 99 European ancestry Hodgkin’s Lymphoma cases, 2,596 European ancestry controls	rs707824	NR	6E-7	1.33
